Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_H mosfire_H_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err f160w f160w_err Redshift
Q0105-C12 27.59 9999.0 26.08 0.25 25.39 0.2 24.98 0.1 24.7 0.16 24.26 0.1 9999.0 9999.0 9999.0 9999.0 24.87 0.1 9999 9999.0 3.149
Q0105-C14 26.44 9999.0 24.79 0.14 24.09 0.12 23.69 0.1 23.23 0.1 22.88 0.1 22.78 0.15 21.93 0.25 9999.0 9999.0 9999 9999.0 2.764
Q0105-C15 27.66 9999.0 25.58 0.2 24.63 0.12 23.66 0.1 23.07 0.1 22.96 0.1 22.63 0.1 9999.0 9999.0 23.59 0.1 9999 9999.0 2.655
Q0105-C16 27.37 9999.0 25.63 0.21 24.95 0.16 23.81 0.1 23.39 0.1 23.06 0.1 22.47 0.1 9999.0 9999.0 23.83 0.1 9999 9999.0 3.461
Q0105-C17 27.06 9999.0 25.42 0.21 24.88 0.17 9999.0 9999.0 9999.0 9999.0 24.42 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.982
Q0105-C19 27.15 9999.0 25.91 0.3 25.35 0.22 25.21 0.16 24.14 0.13 23.86 0.1 23.63 0.14 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.904
Q0105-C20 27.23 9999.0 25.85 0.26 25.33 0.23 24.4 0.1 23.31 0.1 23.25 0.1 22.81 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 3.392
Q0105-C21 27.17 9999.0 26.06 0.26 25.16 0.18 25.04 0.1 24.13 0.1 23.86 0.1 23.54 0.29 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.913
Q0105-C4 28.16 9999.0 25.75 0.25 24.77 0.17 24.73 0.1 24.24 0.14 23.16 0.1 22.66 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.976
Q0105-C5 27.23 9999.0 25.27 0.15 24.75 0.15 24.31 0.1 24.18 0.13 23.44 0.1 23.52 0.5 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.823
Q0105-C8 27.16 9999.0 25.77 0.25 24.96 0.19 24.38 0.1 24.02 0.12 23.37 0.1 23.5 0.28 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.66
Q0105-C9 26.87 9999.0 25.84 0.22 25.08 0.18 24.42 0.1 23.03 0.1 22.68 0.1 21.29 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.655
Q0105-D1 26.93 9999.0 25.34 0.16 24.86 0.15 25.0 0.12 23.61 0.1 24.16 0.1 24.11 0.36 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.754
Q0105-D10 24.44 0.17 22.28 0.1 21.68 0.01 20.72 0.1 20.32 0.1 20.25 0.1 19.85 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.861
Q0105-D11 26.87 9999.0 25.43 0.16 25.13 0.18 25.09 0.12 24.66 0.18 24.01 0.1 9999.0 9999.0 9999.0 9999.0 24.73 0.1 9999 9999.0 2.71
Q0105-D12 26.44 9999.0 24.86 0.1 24.73 0.13 24.85 0.1 24.82 0.21 24.22 0.1 24.43 0.4 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.943
Q0105-D13 26.67 9999.0 25.24 0.13 25.01 0.17 24.66 0.1 24.8 0.2 24.48 0.11 22.74 0.17 9999.0 9999.0 24.66 0.1 9999 9999.0 2.749
Q0105-D14 26.57 9999.0 25.03 0.12 24.51 0.12 24.09 0.1 23.14 0.1 23.17 0.1 22.64 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.751
